Carimbo de data/hora,"como prefere ser chamada (pode ser apelido + sobrenome, por exemplo)",seu melhor e-mail (será usado para assinar o contrato),chave PIX,razão social,CNPJ,CEP,"número (prédio, casa, condomínio...)","complemento (se houver: bloco, torre, apto...)"
11/03/2026 09:29:23,luiza maduro,madurinha@gmail.com,1939949394,madurinha ltda,13884839493949,28610000,12,apto 107
11/03/2026 09:31:15,luizinha mel,melzinha@luiza.com,luizamel,luiza mel ltda,148384394939,28625710,888,ap 105
11/03/2026 09:51:48,ghbjn,"hbnjm,",ggvhbnjm,ghjkl,hjkhjkm,28510000,723,103
11/03/2026 10:02:01,juinha cocada,cocadinha@gmail.com,cocadinha@gmail.com,julinha das cocadas,1938348833949384394,28625760,172,apto 105
11/03/2026 16:48:13,daniel perrut,dani@estudioela.com,17597043775,dp ltda,19388483849394933,57955-768,172,789
12/03/2026 06:00:52,daniel perrut,conversa@estudioela.com,17597043775,julinha das cocadas,1938348833949384394,28625-760,172,apto 105
12/03/2026 06:12:56,daniel perrut,conversa@estudioela.com,17597043775,julinha das cocadas,19388483849394933,28625-760,172,apto 105
12/03/2026 06:21:28,juju dos teclados,tecladistajuju@gmail.com,tecladistajuju@gmail.com,juju dos teclados me,394838483843949,22071-000,13,ap 606
12/03/2026 06:23:32,patixa telo,patixa@telo.com,1837374738,patixa telo loira me,2948394394934,22071-000,18,ap 104
17/06/2026 04:04:04,hoje dani,hojendani@fdani.com,174764654678,mf shfhshs,2838574757759,28625760,12,casa
17/06/2026 04:14:59,tatuibe bolinha,bolinhatatu@gmail.com,bolinhatatu@gmail.com,tatuibe tatuzinho,38847378384838434,28625760,10,casa 2
02/07/2026 16:09:24,dani,dani@estudioela.com,17597043775,julinha das cocadas,1938348833949384394,28625760,18,ap 606
04/07/2026 11:05:36,Patixa Telo,patixa@telo.com,81833783783,PATIXA 17597043775,17597043775,28610000,12,87
04/07/2026 22:51:23,joaquina ferriera,joca@ferriera.com,183843848394,joca joquinha,123456789,28625710,12,54
11/07/2026 01:00:54,Carrie,carriebradshow@vogue.com,carriebradshow@vogue.com,Carrie Bradshow BIG,7666477473737483,22071-000,07,1001
11/07/2026 01:08:45,Miranda Hobbes,miranda@hobbesadovocacia.com,18743848834,HOBBES ADOVAGODS E ASSOCCIADOS,48834783594958495,22420-000,88,cobertura
11/07/2026 01:29:53,Samatha Jones,samjoneshotgitrl@hotmail.com,198384883,SAMANTHA JONES RP,7374737483948374,22420-012,76,804
